iso_code,continent,country,last_updated_date,total_cases,total_deaths,total_cases_per_million,population
CHN,Asia,China,2024-08-04,99373219,122304,69726.805,1425887360
COL,South America,Colombia,2024-08-04,6391876,142727,123543.3,51874028
COM,Africa,Comoros,2024-08-04,9109,160,10919.549,836783
COG,Africa,Congo,2024-08-04,25227,389,4180.042,5970430
COK,Oceania,Cook Islands,2024-08-04,7345,2,498067.4,17032
CRI,North America,Costa Rica,2024-08-04,1234701,9372,242966.97,5180836
CIV,Africa,Cote d'Ivoire,2024-08-04,88434,835,2909.492,28160548
HRV,Europe,Croatia,2024-08-04,1317144,18752,337121.47,4030361
CUB,North America,Cuba,2024-08-04,1113662,8530,100694.4,11212198
CUW,North America,Curacao,2024-08-04,45883,305,247546.55,191173
CYP,Europe,Cyprus,2024-08-04,696410,1451,523075.38,896007
CZE,Europe,Czechia,2024-08-12,4761919,43509,446155.97,10493990
COD,Africa,Democratic Republic of Congo,2024-08-04,101009,1474,986.445,99010216
DNK,Europe,Denmark,2024-08-04,3435679,9693,582032.56,5882259
DJI,Africa,Djibouti,2024-08-04,15690,189,13798.259,1120851
DMA,North America,Dominica,2024-08-04,16047,74,240044.88,72758
DOM,North America,Dominican Republic,2024-08-04,661103,4384,58865.52,11228821
TLS,Asia,East Timor,2024-08-04,23460,138,17132.854,1341298
ECU,South America,Ecuador,2024-08-04,1077445,36050,60449.453,18001002
EGY,Africa,Egypt,2024-08-04,516023,24830,4582.054,110990096
SLV,North America,El Salvador,2024-08-04,201920,4230,32151.248,6336393
GNQ,Africa,Equatorial Guinea,2024-08-04,17130,183,9497.935,1674916
ERI,Africa,Eritrea,2024-08-04,10189,103,2988.457,3684041
EST,Europe,Estonia,2024-08-12,610471,2998,452169.94,1326064
SWZ,Africa,Eswatini,2024-08-04,75356,1427,61821.89,1201680
ETH,Africa,Ethiopia,2024-08-04,501193,7574,3997.255,123379928
FLK,South America,Falkland Islands,2024-08-04,1923,0,547083.94,3801
FRO,Europe,Faroe Islands,2024-08-04,34658,28,641351.6,53117
FJI,Oceania,Fiji,2024-08-04,69047,885,75097.78,929769
FIN,Europe,Finland,2024-08-04,1499712,11466,269281.97,5540745
FRA,Europe,France,2024-08-04,38997490,168091,606706,67813000
GUF,South America,French Guiana,2024-08-04,98041,413,328644.84,304568
PYF,Oceania,French Polynesia,2024-08-04,79387,650,283131.66,306292
GAB,Africa,Gabon,2024-08-04,49051,307,20179.352,2388997
GMB,Africa,Gambia,2024-08-04,12627,372,4789.353,2705995
GEO,Asia,Georgia,2024-08-04,1863615,17150,491099.22,3744385
DEU,Europe,Germany,2024-08-04,38437756,174979,457123.1,83369840
GHA,Africa,Ghana,2024-08-04,172062,1462,5190.54,33475870
GIB,Europe,Gibraltar,2024-08-04,20550,113,546092.3,32677
GRC,Europe,Greece,2024-08-04,5673681,39258,544892.3,10384972
GRL,North America,Greenland,2024-08-04,11971,21,213714.42,56494
GRD,North America,Grenada,2024-08-04,19693,238,168419.88,125459
GLP,North America,Guadeloupe,2024-08-04,203235,1021,528290.6,395762
GUM,Oceania,Guam,2024-08-04,52287,419,316520.7,171783
GTM,North America,Guatemala,2024-08-04,1250371,20203,70057.125,17843914
GGY,Europe,Guernsey,2024-08-04,35326,67,554150.6,63329
GIN,Africa,Guinea,2024-08-04,38572,468,2744.335,13859349
GNB,Africa,Guinea-Bissau,2024-08-04,9614,177,4566.056,2105580
GUY,South America,Guyana,2024-08-04,74443,1302,90603.38,808727
